2008_2010,2011,2012,2013,2014,2015,2016,2017
"('data', 0.6349206349206349)","('natural-language-processing', 0.3416666666666667)","('network', 0.2512315270935961)","('network', 0.21574344023323616)","('library', 0.23037542662116042)","('network', 0.22175732217573219)","('network', 0.18586088939566706)","('implementation', 0.22039698836413416)"
"('language', 0.4444444444444444)","('data-science', 0.21666666666666667)","('library', 0.19211822660098524)","('library', 0.21282798833819241)","('data', 0.1621160409556314)","('data', 0.15794979079497906)","('implementation', 0.18187001140250855)","('network', 0.17453798767967146)"
"('version', 0.3492063492063492)","('library', 0.20833333333333334)","('c-plus-plus', 0.18226600985221675)","('algorithms', 0.16909620991253643)","('framework', 0.15870307167235495)","('library', 0.15585774058577404)","('library', 0.13797035347776512)","('computer-vision', 0.15605749486652978)"
"('simple', 0.3492063492063492)","('web', 0.2)","('utility', 0.13793103448275862)","('gpu', 0.1574344023323615)","('applications', 0.12286689419795221)","('framework', 0.1527196652719665)","('model', 0.112884834663626)","('library', 0.15468856947296372)"
"('statistics', 0.3492063492063492)","('visualization', 0.2)","('framework', 0.12315270935960591)","('tools', 0.13702623906705538)","('scalable', 0.11604095563139932)","('source', 0.10564853556485354)","('data-science', 0.11060433295324971)","('code', 0.13689253935660506)"
"('nlp', 0.3412698412698413)","('network', 0.19166666666666665)","('vision', 0.11822660098522167)","('data', 0.12244897959183673)","('modeling', 0.11604095563139932)","('data-science', 0.10460251046025104)","('data', 0.10205245153933866)","('ai', 0.11978097193702943)"
"('code', 0.3412698412698413)","('nlp', 0.175)","('image-processing', 0.11822660098522167)","('statistics', 0.11661807580174927)","('data-science', 0.11262798634812286)","('code', 0.09832635983263598)","('framework', 0.10091220068415052)","('model', 0.11841204654346338)"
"('every', 0.3412698412698413)","('language', 0.175)","('computer', 0.11822660098522167)","('analysis', 0.10787172011661808)","('js', 0.10921501706484642)","('open', 0.09832635983263598)","('code', 0.10091220068415052)","('gan', 0.108145106091718)"
"('source', 0.3412698412698413)","('node', 0.175)","('computer-vision', 0.11822660098522167)","('implementation', 0.10787172011661808)","('source', 0.10580204778156997)","('image', 0.09309623430962342)","('nlp', 0.09635119726339796)","('framework', 0.09582477754962354)"
"('natural-language-processing', 0.3412698412698413)","('framework', 0.16666666666666666)","('open', 0.11822660098522167)","('intelligence', 0.10495626822157435)","('k-means', 0.10409556313993173)","('ai', 0.0910041841004184)","('convolutional-neural-networks', 0.09350057012542759)","('neural-networks', 0.09377138945927446)"
"('less', 0.32539682539682535)","('toolbox', 0.15)","('source', 0.11822660098522167)","('c-sharp', 0.10204081632653061)","('gpu', 0.10409556313993173)","('language', 0.08891213389121339)","('natural-language-processing', 0.09350057012542759)","('convolutional-neural-networks', 0.08624229979466119)"
"('evaluation-metrics', 0.32539682539682535)","('js', 0.15)","('simple', 0.11330049261083744)","('nlp', 0.09912536443148688)","('fast', 0.10238907849829351)","('implementation', 0.08891213389121339)","('source', 0.09293044469783353)","('data', 0.08418891170431211)"
"('features', 0.32539682539682535)","('word-similarity', 0.14166666666666666)","('program', 0.11330049261083744)","('neural-networks', 0.09329446064139942)","('architecture', 0.10068259385665529)","('tasks', 0.08682008368200836)","('cnn', 0.08722919042189282)","('tutorial', 0.08350444900752908)"
"('linguistics', 0.32539682539682535)","('topic-modeling', 0.14166666666666666)","('common', 0.11330049261083744)","('www', 0.09037900874635568)","('open', 0.09726962457337884)","('scikit-learn', 0.08577405857740585)","('image', 0.08665906499429875)","('natural-language-processing', 0.08213552361396304)"
"('search-algorithms', 0.32539682539682535)","('information-retrieval', 0.14166666666666666)","('like', 0.11330049261083744)","('algorithm', 0.09037900874635568)","('node', 0.09726962457337884)","('spark', 0.08263598326359832)","('paper', 0.0838084378563284)","('mnist', 0.07939767282683094)"
"('format', 0.32539682539682535)","('sentiment-analysis', 0.14166666666666666)","('try', 0.11330049261083744)","('vector', 0.08454810495626822)","('net', 0.09556313993174062)","('training', 0.0815899581589958)","('theano', 0.08266818700114026)","('cnn', 0.07529089664613278)"
"('common', 0.32539682539682535)","('gensim', 0.14166666666666666)","('either', 0.11330049261083744)","('fast', 0.08163265306122448)","('network', 0.09385665529010238)","('nlp', 0.0815899581589958)","('api', 0.07753705815279362)","('ios', 0.07392197125256673)"
"('library', 0.32539682539682535)","('fasttext', 0.14166666666666666)","('found', 0.11330049261083744)","('system', 0.07871720116618075)","('code', 0.09215017064846416)","('toolkit', 0.0805439330543933)","('computer-vision', 0.07525655644241733)","('nlp', 0.0732375085557837)"
"('frequency', 0.32539682539682535)","('network-analysis', 0.14166666666666666)","('inspection', 0.11330049261083744)","('genetic-algorithms', 0.0728862973760933)","('computer-vision', 0.09215017064846416)","('theano', 0.07635983263598325)","('training', 0.07468643101482327)","('detection', 0.07186858316221766)"
"('text-processing', 0.32539682539682535)","('vision', 0.14166666666666666)","('packet', 0.11330049261083744)","('bayesian', 0.0728862973760933)","('algorithms', 0.09044368600682594)","('platform', 0.07322175732217573)","('ai', 0.07411630558722919)","('image', 0.07118412046543464)"
"('nlp-library', 0.32539682539682535)","('humans', 0.14166666666666666)","('tools', 0.11330049261083744)","('package', 0.0728862973760933)","('spark', 0.08873720136518772)","('aws', 0.07322175732217573)","('reinforcement', 0.07354618015963513)","('deep-reinforcement-learning', 0.06981519507186858)"
"('interface', 0.32539682539682535)","('text-summarization', 0.14166666666666666)","('use', 0.11330049261083744)","('framework', 0.06997084548104957)","('api', 0.08703071672354949)","('lstm', 0.0711297071129707)","('language', 0.0701254275940707)","('training', 0.06913073237508556)"
"('computational-linguistics', 0.32539682539682535)","('module', 0.14166666666666666)","('analyze', 0.11330049261083744)","('robotics', 0.06997084548104957)","('regression', 0.08532423208191127)","('computer-vision', 0.07008368200836819)","('reinforcement-learning', 0.06898517673888256)","('reinforcement-learning', 0.06913073237508556)"
"('tasks', 0.32539682539682535)","('image-processing', 0.14166666666666666)","('volume', 0.11330049261083744)","('dotnet', 0.06705539358600583)","('hadoop', 0.08532423208191127)","('algorithms', 0.07008368200836819)","('detection', 0.06385404789053592)","('data-science', 0.06707734428473648)"
"('useful', 0.32539682539682535)","('computer', 0.14166666666666666)","('packets', 0.11330049261083744)","('genetic-algorithm', 0.06705539358600583)","('big-data', 0.08361774744027303)","('project', 0.07008368200836819)","('neural-networks', 0.06385404789053592)","('generative-adversarial-network', 0.06707734428473648)"
"('n-grams', 0.32539682539682535)","('image', 0.14166666666666666)","('make', 0.11330049261083744)","('platform', 0.06705539358600583)","('help', 0.08191126279863481)","('detection', 0.06903765690376569)","('2016', 0.06385404789053592)","('tensorflow-tutorials', 0.06639288158795345)"
"('cql', 0.32539682539682535)","('tools', 0.14166666666666666)","('feature', 0.11330049261083744)","('genetic-programming', 0.06705539358600583)","('natural-language-processing', 0.08191126279863481)","('recurrent-neural-networks', 0.06694560669456066)","('open', 0.06328392246294184)","('source', 0.06570841889117043)"
"('extraction', 0.32539682539682535)","('mining', 0.14166666666666666)","('payloads', 0.11330049261083744)","('senna', 0.0641399416909621)","('links', 0.07679180887372014)","('automated', 0.06694560669456066)","('regression', 0.06328392246294184)","('dataset', 0.0622861054072553)"
"('basic', 0.32539682539682535)","('modelling', 0.14166666666666666)","('tool', 0.11330049261083744)","('tagging', 0.0641399416909621)","('random-forest', 0.07679180887372014)","('recognition', 0.06589958158995815)","('simple', 0.06328392246294184)","('recognition', 0.061601642710472276)"
"('linguistic', 0.32539682539682535)","('computer-vision', 0.14166666666666666)","('trace', 0.11330049261083744)","('vectors', 0.0641399416909621)","('linear', 0.07679180887372014)","('web', 0.06276150627615062)","('gan', 0.06328392246294184)","('chatbot', 0.057494866529774126)"
